"Summary (name + short description)","Summary (name + short description)"
"Detailed (+ attributes, price, SKU)","Detailed (+ attributes, price, SKU)"
"Complete (+ full description)","Complete (+ full description)"
"Every Hour","Every Hour"
"Daily (at midnight)","Daily (at midnight)"
"Weekly (Sunday midnight)","Weekly (Sunday midnight)"
"Best Sellers","Best Sellers"
"Newest First","Newest First"
"Alphabetical (A-Z)","Alphabetical (A-Z)"
"Price: High to Low","Price: High to Low"
"Price: Low to High","Price: Low to High"
"Generate Now","Generate Now"
Generating...,Generating...
"RKD LLMs.txt Configuration","RKD LLMs.txt Configuration"
"RKD LLMs.txt","RKD LLMs.txt"
"Generate LLMs.txt Files","Generate LLMs.txt Files"
"Preview LLMs.txt Output","Preview LLMs.txt Output"
"Validate LLMs.txt","Validate LLMs.txt"
"RKD Extensions","RKD Extensions"
"LLMs.txt Generator","LLMs.txt Generator"
"General Settings","General Settings"
"Enable Module","Enable Module"
Auto-Regeneration,Auto-Regeneration
"Automatically regenerate files on a schedule","Automatically regenerate files on a schedule"
"Regeneration Schedule","Regeneration Schedule"
"Store Description for AI","Store Description for AI"
"Describe your store in 1-2 sentences for AI assistants. Example: ""Luma is an activewear and fitness retailer offering clothing, gear, and accessories for men and women."" Leave empty for auto-generated description.","Describe your store in 1-2 sentences for AI assistants. Example: ""Luma is an activewear and fitness retailer offering clothing, gear, and accessories for men and women."" Leave empty for auto-generated description."
"Manual Generation","Manual Generation"
"Content Sections","Content Sections"
"Include CMS Pages","Include CMS Pages"
"Include Categories","Include Categories"
"Category Depth Limit","Category Depth Limit"
"Maximum category tree depth to include (default: 3)","Maximum category tree depth to include (default: 3)"
"Include Products","Include Products"
"Product Limit","Product Limit"
"Maximum number of products to include (default: 1000)","Maximum number of products to include (default: 1000)"
"Product Sort Order","Product Sort Order"
"Include Store Metadata","Include Store Metadata"
"Exclude Out-of-Stock Products","Exclude Out-of-Stock Products"
"Prevent out-of-stock products from appearing in the LLMs.txt output","Prevent out-of-stock products from appearing in the LLMs.txt output"
"llms-full.txt Settings","llms-full.txt Settings"
"Generate llms-full.txt","Generate llms-full.txt"
"Generate the complete content file alongside llms.txt","Generate the complete content file alongside llms.txt"
"Max File Size (MB)","Max File Size (MB)"
"Maximum file size for llms-full.txt (default: 5MB)","Maximum file size for llms-full.txt (default: 5MB)"
"Content Depth","Content Depth"
"Product Data","Product Data"
"Include Prices","Include Prices"
"Include SKU","Include SKU"
"Include Short Description","Include Short Description"
"Additional Product Attributes","Additional Product Attributes"
"Select which product attributes to include in the output. Choose attributes relevant to your niche (e.g., gender and material for apparel, brand and warranty for electronics, ingredients for food).","Select which product attributes to include in the output. Choose attributes relevant to your niche (e.g., gender and material for apparel, brand and warranty for electronics, ingredients for food)."
Validation,Validation
"Validate on Generation","Validate on Generation"
"Run spec validation after each generation","Run spec validation after each generation"
"Block Generation on Errors","Block Generation on Errors"
"Prevent writing files if validation errors are found","Prevent writing files if validation errors are found"
"Robots.txt Integration","Robots.txt Integration"
"Auto-Inject into robots.txt","Auto-Inject into robots.txt"
"Automatically add llms.txt path reference to your robots.txt","Automatically add llms.txt path reference to your robots.txt"
